Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
United Kingdom ,1990,2.9415,0.6651,1430.0997,1463.391166,27091.0248,1803,10182.3579,-15141.1333,0,25614.3102,10007.2686,2667.7458,4711.8326,7862.8015,15689.4353,170.9401,53287.0833,3666.4042,5581.452,7449.9087,0,0,3256.6658,12500044,44683287,27798722,29411720,166798.195,1.02475
United Kingdom,1991,2.9415,0.6651,1429.8091,1463.391166,27091.0248,1747,10064.5984,-15141.1333,0,26831.3722,10209.6693,2669.1862,4591.771,7982.8771,15356.6691,221.0617,54131.8325,3635.3935,5531.4982,7383.9221,0,0,3367.9546,12550595,44788852,27871224,29488230,168571.5043,0.266
United Kingdom ,1992,2.9415,0.6651,1405.2708,1463.391166,27091.0248,1779,10178.6342,-15141.1333,0,26661.9778,10431.7138,2584.9061,4400.7841,8095.6246,15713.6523,266.6539,49212.43,3619.467,5601.5691,7347.9048,0,0,3345.5221,12549775,44944763,27945575,29563665,164061.9999,0.415916667
United Kingdom ,1993,2.9415,0.6651,1245.3767,1443.263309,27089.9001,1607,8977.7317,-15141.1333,0,25083.9201,7464.7697,2327.4611,3978.9446,8169.9684,15553.4519,309.4133,44734.6743,3626.4069,5581.4499,7356.8225,0,0,3356.8248,12549115,45101358,28015997,29631466,152769.8526,0.035833333
United Kingdom,1994,2.9415,0.6651,1267.9789,1443.263309,27084.9318,1670,8974.3961,-15141.1333,0,23893.2953,7880.9923,2155.7115,4017.6183,8271.893,14366.3074,363.102,49340.9086,3656.113,5552.1028,7420.0629,0,0,3374.2967,12549237,45261534,28088096,29697804,155595.4472,0.52975
United Kingdom,1995,2.9415,0.6651,1380.08,1443.263309,27071.8305,1563,8893.9196,-15141.1333,0,22904.4694,7865.338,2047.6876,4044.5637,8443.4073,14160.229,410.1611,47899.5214,3607.3097,5490.7617,7266.3492,0,0,3263.893,12550805,45427516,28164075,29766289,152618.2578,0.826916667
United Kingdom,1996,3.6237,2.5131,1543.233,1443.263309,26991.3134,1569,9238.0087,-15141.1333,0,24303.5857,8152.7692,2017.8399,3914.2994,8365.0871,14522.7632,463.9655,47521.7259,3629.9871,5425.9265,7294.0199,0,0,3595.7532,12554541,45602204,28244141,29834446,154857.5445,-0.073833333
United Kingdom,1997,2.8085,1.7553,1485.9344,1443.263309,26680.5186,1592,9308.973,-15141.1333,0,22174.8129,8072.2891,1875.289,3860.8399,8504.3389,13734.2746,521.5172,47315.1395,3649.9068,5413.0409,7288.0692,0,0,3269.208,12560706,45785967,28338462,29911735,151052.8458,1.113416667
United Kingdom,1998,2.7902,1.938,1439.9375,1443.263309,26683.032,1152,9276.5969,-15141.1333,0,22831.3945,8168.6235,1972.4392,3151.4935,13124.8606,13562.4577,577.3333,49385.565,3601.2069,5518.6798,7214.0216,0,0,3276.5817,12568457,45976481,28442821,29995500,157243.0819,0.832833333
United Kingdom,1999,2.8153,1.938,1399.5582,1443.263309,26639.1199,1321,9599.8166,-15141.1333,0,22145.1765,8232.7861,1912.357,3135.4508,8262.7689,13123.6902,638.8068,39415.3314,3533.6659,5517.7086,7004.6611,0,0,2977.0213,12576795,46169933,28553554,30081649,141165.8026,1.02575
United Kingdom,2000,2.7902,1.938,1509.0171,1463.391166,26569.6365,1391,9484.7594,-15141.1333,0,23127.296,8720.536,2098.3847,3234.1228,8116.8347,12306.3562,688.6445,35648.5777,3459.6872,5306.1485,6727.1987,0,0,2666.4927,12585414,46365434,28674538,30175505,137381.6788,0.806583333
United Kingdom,2001,1.0408,0.7829,1204.2022,1463.391166,26549.1745,1199,9447.7628,-13564.8333,0,23503.7013,9245.12,2029.5075,3385.8314,7917.1684,13188.5985,744.1567,35039.6132,3296.6125,4786.0019,6364.6698,0,0,2479.9192,12568459,46580884,28809410,30282606,138281.4215,0.508833333
United Kingdom,2002,0,0,1448.5861,1463.391166,26511.6851,1606,9578.7632,-13564.8333,0,22700.0298,8949.2501,1989.193,3219.059,8420.0426,13087.1927,1118.6841,35943.9187,3190.7481,4674.834,6189.6466,0,0,2199.2259,12435493,46913460,28956939,30398751,138725.4169,1.140166667
United Kingdom,2003,10.6987,1.3051,1348.7861,1463.391166,26473.7289,1040,9712.0268,-13564.8333,0,23311.5406,9286.2249,2010.117,3290.7565,8310.8876,12952.7059,1199.2344,37242.796,3166.5616,4705.7335,6092.4916,0,0,1432.0092,12309693,47270529,29122047,30527752,139486.1623,1.15475
